Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
Sidbi Sme Venture,VC,"Seed, Series A",,,,https://sidbiventure.co.in,,SEBI AIF1; IN/AIF1/25-26/1866,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Silver Needle Ventures,VC,"Seed, Series A",,,,https://silverneedle.vc,,SEBI AIF1; IN/AIF1/22-23/1106,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Sistema Asia Fund India Ventures,VC,"Seed, Series A",,,,https://sistemaasiafund.com,,SEBI AIF2; IN/AIF2/18-19/0616,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Sixth Sense Ventures,VC,"Seed, Series A",,,,https://sixth-sense.in,,SEBI AIF2; IN/AIF2/20-21/0794,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Sky Capital Rising Titans,VC,"Seed, Series A",,,,https://skyimpact.com,,SEBI AIF1; IN/AIF1/24-25/1747,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Small Ticket Funding Ventures,VC,"Seed, Series A",,,,https://smallticketfunding.vc,,SEBI AIF2; IN/AIF2/24-25/1690,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Soonicorn Angel,Angel,"Pre-Seed, Seed",,,,https://soonicornventures.com,,SEBI AIF1; IN/AIF1/23-24/1338,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Spark Venture,VC,"Seed, Series A",,,,https://sparkcapital.in,,SEBI AIF1; IN/AIF1/22-23/1212,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Sparrow Capital,VC,"Seed, Series A",,,,https://sparrowvc.com,,SEBI AIF1; IN/AIF1/21-22/0946,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Sprout Venture Partners,VC,"Seed, Series A",,,,https://sproutvp.com,,"SEBI AIF1; IN/AIF1/16-17/0280, IN/AIF2/22-23/1032",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Startup-O Ventures SRI,VC,"Seed, Series A",,,,https://startup-o.com,,SEBI AIF2; IN/AIF2/22-23/1063,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Stellaris Venture Partners India,VC,"Seed, Series A",,,,https://stellarisvp.com,,"SEBI AIF2; IN/AIF2/20-21/0791, IN/AIF2/24-25/1583",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Steptrade Opportunities,VC,"Seed, Series A",,,,https://steptradeshareservices.in,,SEBI AIF1; IN/AIF1/23-24/1352,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Stride Ventures,VC,"Seed, Series A",,,,https://strideventures.in,,"SEBI AIF2; IN/AIF2/19-20/0721, IN/AIF2/21-22/0895, IN/AIF2/24-25/1640",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
SucSEED Indovation,VC,"Seed, Series A",,,,https://sucseed.biz,,SEBI AIF1; IN/AIF1/20-21/0824,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Swishin Ventures,VC,"Seed, Series A",,,,https://swishin.vc,,SEBI AIF1; IN/AIF1/25-26/1772,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
