slug,name,type,url
"sofina","Sofina","Private Equity","https://vcdekho.com/funds/sofina"
"scalable-capital","Scalable Capital","Corporate / CVC","https://vcdekho.com/funds/scalable-capital"
"bat-vc","BAT VC","Venture Capital","https://vcdekho.com/funds/bat-vc"
"kriscore-capital","Kriscore Capital","Venture Capital","https://vcdekho.com/funds/kriscore-capital"
"synapses-vc","Synapses VC","Venture Capital","https://vcdekho.com/funds/synapses-vc"
"ahead-vc","Ahead VC","Venture Capital","https://vcdekho.com/funds/ahead-vc"
"boldcap","BoldCap","Venture Capital","https://vcdekho.com/funds/boldcap"
"upekkha","Upekkha","Accelerator","https://vcdekho.com/funds/upekkha"
"the-chennai-angels","The Chennai Angels","Syndicate / Network","https://vcdekho.com/funds/the-chennai-angels"
"in44-capital","IN44 Capital","Venture Capital","https://vcdekho.com/funds/in44-capital"
"bluehill-vc","Bluehill.vc","Venture Capital","https://vcdekho.com/funds/bluehill-vc"
"artha99-venture-capital-fund","Artha99 Venture Capital Fund","Venture Capital","https://vcdekho.com/funds/artha99-venture-capital-fund"
"a99-vc","a99 VC","Venture Capital","https://vcdekho.com/funds/a99-vc"
"tvs-capital-funds","TVS Capital Funds","Private Equity","https://vcdekho.com/funds/tvs-capital-funds"
"pi-ventures","pi Ventures","Venture Capital","https://vcdekho.com/funds/pi-ventures"
"yali-capital","Yali Capital","Venture Capital","https://vcdekho.com/funds/yali-capital"
"first-cheque","First Cheque","Venture Capital","https://vcdekho.com/funds/first-cheque"
"matrix-partners","Matrix Partners","Venture Capital","https://vcdekho.com/funds/matrix-partners"
"tdv-partners","TDV Partners","Venture Capital","https://vcdekho.com/funds/tdv-partners"
"endurance-capital","Endurance Capital","Syndicate / Network","https://vcdekho.com/funds/endurance-capital"
"encubay-angel-network","Encubay Angel Network","Syndicate / Network","https://vcdekho.com/funds/encubay-angel-network"
"gaurav-sharma","Gaurav Sharma","Angel / Individual","https://vcdekho.com/funds/gaurav-sharma"
"exfinity-venture-partners","Exfinity Venture Partners","Venture Capital","https://vcdekho.com/funds/exfinity-venture-partners"
"capital-2b","Capital 2B","Venture Capital","https://vcdekho.com/funds/capital-2b"
"campus-fund","Campus Fund","Venture Capital","https://vcdekho.com/funds/campus-fund"
"oberoi-family-office","Oberoi Family Office","Family Office","https://vcdekho.com/funds/oberoi-family-office"
"peaceful-progress","Peaceful Progress","Angel / Individual","https://vcdekho.com/funds/peaceful-progress"
"leo-capital","Leo Capital","Venture Capital","https://vcdekho.com/funds/leo-capital"
"ramaiah-capital","Ramaiah Capital","Family Office","https://vcdekho.com/funds/ramaiah-capital"
"innovex-capital","Innovex Capital","Corporate / CVC","https://vcdekho.com/funds/innovex-capital"
"v3-ventures-verlinvest","V3 Ventures (Verlinvest)","Venture Capital","https://vcdekho.com/funds/v3-ventures-verlinvest"
"earlsfield-capital","Earlsfield Capital","Venture Capital","https://vcdekho.com/funds/earlsfield-capital"
"eight-roads-ventures-india","Eight Roads Ventures India","Venture Capital","https://vcdekho.com/funds/eight-roads-ventures-india"
"cactus-vp","Cactus vp","Venture Capital","https://vcdekho.com/funds/cactus-vp"
"goldman-sachs-growth-equity","Goldman Sachs Growth Equity","Private Equity","https://vcdekho.com/funds/goldman-sachs-growth-equity"
"endiya-partners","Endiya Partners","Venture Capital","https://vcdekho.com/funds/endiya-partners"
