slug,name,company,url
"rishika-chandan","Rishika Chandan","Venturi Partners","https://vcdekho.com/investors/rishika-chandan"
"rishi-kabra","Rishi Kabra","Athena","https://vcdekho.com/investors/rishi-kabra"
"ankit-k","Ankit K.","Capital-A","https://vcdekho.com/investors/ankit-k"
"raashi-gupta","Raashi Gupta","Capital-A","https://vcdekho.com/investors/raashi-gupta"
"aditya-singh-2","Aditya Singh","Capital-A","https://vcdekho.com/investors/aditya-singh-2"
"ashutosh-srivastava","Ashutosh Srivastava","SanchiConnect","https://vcdekho.com/investors/ashutosh-srivastava"
"gautam-narayan","Gautam Narayan","Kalaari Capital","https://vcdekho.com/investors/gautam-narayan"
"simran-khurana","Simran Khurana","Kalaari Capital","https://vcdekho.com/investors/simran-khurana"
"harsh-choudhary","Harsh Choudhary","Kalaari Capital","https://vcdekho.com/investors/harsh-choudhary"
"kinshuk-soperna","Kinshuk Soperna","Chiratae Ventures","https://vcdekho.com/investors/kinshuk-soperna"
"naimil-shah","Naimil Shah","Chiratae Ventures","https://vcdekho.com/investors/naimil-shah"
"samarth-gudwala","Samarth Gudwala","Chiratae Ventures","https://vcdekho.com/investors/samarth-gudwala"
"puneet-kumar","Puneet Kumar","Nexus Venture Partners","https://vcdekho.com/investors/puneet-kumar"
"dhruv-tyagi","Dhruv Tyagi","Nexus Venture Partners","https://vcdekho.com/investors/dhruv-tyagi"
"anup-gupta","Anup Gupta","Nexus Venture Partners","https://vcdekho.com/investors/anup-gupta"
"ritu-verma","Ritu Verma","Ankur Capital Fund","https://vcdekho.com/investors/ritu-verma"
"vishal-aman","Vishal Aman","Ankur Capital Fund","https://vcdekho.com/investors/vishal-aman"
"rema-subramanian","Rema Subramanian","Ankur Capital Fund","https://vcdekho.com/investors/rema-subramanian"
"vineet-rai","vineet rai","Aavishkaar Capital","https://vcdekho.com/investors/vineet-rai"
"shashvat-rai","Shashvat Rai","Aavishkaar Capital","https://vcdekho.com/investors/shashvat-rai"
"shibangi-b","Shibangi B","SenseAI Ventures","https://vcdekho.com/investors/shibangi-b"
"gokul-gopal","Gokul Gopal","Veltis Capital","https://vcdekho.com/investors/gokul-gopal"
"bhushan-patil","Bhushan Patil","Multiple Ventures","https://vcdekho.com/investors/bhushan-patil"
